,mean,std,median
dice,0.6421552597498176,0.11610834098682342,0.6541642420843861
iou,0.4834104956699723,0.1247176760146098,0.4860673214007074
precision,0.7032560385141482,0.15663084954261977,0.7504857095026587
recall,0.6185933913214254,0.1295702643621629,0.628381394976075
specificity,0.7435386427708959,0.10628400036381384,0.7591771594119446
hd95,99.56986123229353,83.67237545720218,72.2889958798338
object_f1,0.1034961154575256,0.10219124376912345,0.07975352112676057
object_precision,0.06542756299322745,0.07361757381804947,0.045454545454545456
object_recall,0.3926046639398266,0.3290984098129001,0.3333333333333333
object_dice,0.6543944725255916,0.3059973753383252,0.7836662715511022
n_pred,51.9,20.46027333175504,51.0
n_gt,9.8,7.158954735950801,7.5
